City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,2022-11-01 18:48:17,22.0752,-159.319,81.1,75,40,17.27
1,Ancud,CL,2022-11-01 18:48:18,-41.8697,-73.8203,60.22,54,0,4.45
2,Daye,CN,2022-11-01 18:48:18,30.0833,114.95,58.78,70,0,5.14
3,Saint-Philippe,RE,2022-11-01 18:48:18,-21.3585,55.7679,72.99,83,1,7.61
4,Mataura,NZ,2022-11-01 18:48:19,-46.1927,168.8643,59.38,66,0,6.73
5,Tazovskiy,RU,2022-11-01 18:48:19,67.4667,78.7,23.22,91,97,14.29
6,Iwanai,JP,2022-11-01 18:48:20,42.9744,140.5089,48.99,85,100,9.84
7,Jamestown,US,2022-11-01 18:44:16,42.097,-79.2353,59.02,94,100,8.05
8,Opuwo,NA,2022-11-01 18:48:20,-18.0607,13.84,80.92,26,13,10.0
9,Punta Arenas,CL,2022-11-01 18:45:03,-53.15,-70.9167,57.31,33,0,24.16
10,Tiksi,RU,2022-11-01 18:48:21,71.6872,128.8694,11.95,77,100,18.23
11,Cayenne,GF,2022-11-01 18:48:22,4.9333,-52.3333,87.84,66,75,12.66
12,Broome,US,2022-11-01 18:48:23,42.2506,-75.833,65.08,80,75,8.05
13,Lata,PT,2022-11-01 18:48:24,40.1629,-8.3327,59.81,86,6,1.61
14,Monzon,ES,2022-11-01 18:48:24,41.9108,0.1941,65.75,62,6,2.01
15,Albany,US,2022-11-01 18:44:41,42.6001,-73.9662,66.58,73,100,5.12
16,Hithadhoo,MV,2022-11-01 18:48:25,-0.6,73.0833,81.21,79,95,14.94
17,Faanui,PF,2022-11-01 18:48:25,-16.4833,-151.75,77.79,79,100,13.87
18,Bredasdorp,ZA,2022-11-01 18:48:26,-34.5322,20.0403,61.25,81,24,20.4
19,Hermanus,ZA,2022-11-01 18:48:26,-34.4187,19.2345,62.8,78,0,21.12
20,Castro,BR,2022-11-01 18:48:27,-24.7911,-50.0119,47.66,97,100,8.12
21,Kudymkar,RU,2022-11-01 18:48:27,59.0173,54.656,34.0,94,100,9.28
22,Chilca,PE,2022-11-01 18:48:28,-12.5211,-76.7372,65.3,75,66,9.31
23,Los Llanos De Aridane,ES,2022-11-01 18:43:49,28.6585,-17.9182,73.13,82,20,8.05
24,Bluff,NZ,2022-11-01 18:48:28,-46.6,168.3333,56.43,78,70,24.96
25,Chuy,UY,2022-11-01 18:48:29,-33.6971,-53.4616,57.79,52,19,13.15
26,Sinnamary,GF,2022-11-01 18:48:29,5.3833,-52.95,83.62,70,97,10.45
27,Nanortalik,GL,2022-11-01 18:48:30,60.1432,-45.2371,29.82,68,16,3.6
28,Cape Town,ZA,2022-11-01 18:48:22,-33.9258,18.4232,70.27,55,0,14.97
29,Chapais,CA,2022-11-01 18:47:49,49.7834,-74.8492,49.78,66,100,8.66
30,Busselton,AU,2022-11-01 18:48:31,-33.65,115.3333,55.53,83,30,11.23
31,Bonthe,SL,2022-11-01 18:48:31,7.5264,-12.505,79.92,82,83,7.38
32,Shingu,JP,2022-11-01 18:48:31,33.7333,135.9833,60.87,90,100,6.4
33,Ushuaia,AR,2022-11-01 18:48:33,-54.8,-68.3,47.86,57,40,31.07
34,Sitka,US,2022-11-01 18:48:33,57.0531,-135.33,37.29,75,20,3.44
35,Mount Gambier,AU,2022-11-01 18:48:34,-37.8333,140.7667,45.27,76,49,11.59
36,Ribeira Grande,PT,2022-11-01 18:48:34,38.5167,-28.7,68.4,94,75,17.27
37,San Patricio,US,2022-11-01 18:48:35,28.017,-97.5169,71.46,87,100,13.8
38,Yellowknife,CA,2022-11-01 18:47:40,62.456,-114.3525,9.12,85,20,5.75
39,Waipawa,NZ,2022-11-01 18:48:35,-41.4122,175.5153,58.44,68,100,15.46
40,Richards Bay,ZA,2022-11-01 18:48:36,-28.783,32.0377,65.62,77,100,2.75
41,Cabo San Lucas,MX,2022-11-01 18:48:36,22.8909,-109.9124,86.61,63,2,6.22
